,,,합계
2018,종로구,소계,"6,017"
2018,종로구,사직동,309
2018,종로구,삼청동,118
2018,종로구,부암동,325
2018,종로구,평창동,542
2018,종로구,무악동,318
2018,종로구,교남동,354
2018,종로구,가회동,175
2018,종로구,종로1.2.3.4가동,379
2018,종로구,종로5·6가동,266
2018,종로구,이화동,330
2018,종로구,창신1동,319
2018,종로구,창신2동,484
2018,종로구,창신3동,318
2018,종로구,숭인1동,275
2018,종로구,숭인2동,433
2018,종로구,청운효자동,500
2018,종로구,혜화동,571
2018,종로구,기타,1
2018,중구,소계,"5,638"
2018,중구,소공동,31
2018,중구,회현동,329
2018,중구,명동,126
2018,중구,필동,186
2018,중구,장충동,194
2018,중구,광희동,231
2018,중구,을지로동,88
2018,중구,신당5동,450
2018,중구,황학동,514
2018,중구,중림동,531
2018,중구,신당동,380
2018,중구,다산동,633
2018,중구,약수동,875
2018,중구,청구동,638
2018,중구,동화동,432
2018,용산구,소계,"8,102"
2018,용산구,후암동,807
2018,용산구,용산2가동,488
2018,용산구,남영동,575
2018,용산구,원효로2동,496
2018,용산구,효창동,307
2018,용산구,용문동,475
2018,용산구,이촌1동,538
2018,용산구,이촌2동,378
2018,용산구,이태원1동,236
2018,용산구,이태원2동,337
2018,용산구,서빙고동,408
2018,용산구,보광동,626
2018,용산구,청파동,824
2018,용산구,원효로1동,444
2018,용산구,한강로동,519
2018,용산구,한남동,644
2018,성동구,소계,"11,880"
2018,성동구,왕십리2동,678
2018,성동구,마장동,"1,096"
2018,성동구,사근동,395
2018,성동구,행당1동,638
2018,성동구,행당2동,890
2018,성동구,응봉동,528
2018,성동구,금호1가동,661
2018,성동구,금호4가동,521
2018,성동구,성수1가1동,617
2018,성동구,성수1가2동,578
2018,성동구,성수2가1동,840
2018,성동구,성수2가3동,448
2018,성동구,송정동,523
2018,성동구,용답동,793
2018,성동구,왕십리도선동,993
2018,성동구,금호2.3가동,955
2018,성동구,옥수동,726
2018,광진구,소계,"12,610"
2018,광진구,화양동,549
2018,광진구,군자동,790
2018,광진구,중곡1동,686
2018,광진구,중곡2동,884
2018,광진구,중곡3동,775
2018,광진구,중곡4동,"1,374"
2018,광진구,능동,366
