기간	자치구	동	합계	합계	합계	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형
기간	자치구	동	합계	합계	합계	지체	지체	지체	뇌병변	뇌병변	뇌병변	시각	시각	시각	청각	청각	청각	언어	언어	언어	지적장애	지적장애	지적장애	자폐성	자폐성	자폐성	정신장애	정신장애	정신장애	신장장애	신장장애	신장장애	심장장애	심장장애	심장장애	호흡기	호흡기	호흡기	간	간	간	안면	안면	안면	장루요루	장루요루	장루요루	뇌전증	뇌전증	뇌전증
기간	자치구	동	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2018	합계	합계	392,920	227,910	165,010	180,610	101,809	78,801	41,801	24,816	16,985	41,900	25,320	16,580	50,306	27,769	22,537	3,233	2,346	887	26,231	16,119	10,112	5,798	4,931	867	16,365	8,452	7,913	16,625	9,761	6,864	1,076	690	386	2,130	1,571	559	2,417	1,685	732	387	215	172	2,799	1,747	1,052	1,242	679	563
2018	종로구	소계	6,017	3,493	2,524	2,750	1,479	1,271	572	358	214	727	462	265	810	461	349	42	32	10	375	222	153	109	89	20	260	152	108	233	150	83	16	8	8	23	18	5	43	31	12	6	3	3	34	21	13	17	7	10
2018	종로구	사직동	309	180	129	140	77	63	44	24	20	38	23	15	29	15	14	1	1	-	14	8	6	10	8	2	13	9	4	11	9	2	2	1	1	2	1	1	2	2	-	-	-	-	2	2	-	1	-	1
2018	종로구	삼청동	118	64	54	49	27	22	16	8	8	13	8	5	19	7	12	-	-	-	3	1	2	1	1	-	9	4	5	6	6	-	-	-	-	1	1	-	1	1	-	-	-	-	-	-	-	-	-	-
2018	종로구	부암동	325	187	138	123	63	60	27	20	7	40	25	15	53	31	22	2	2	-	25	14	11	8	7	1	21	11	10	13	8	5	1	1	-	1	-	1	4	2	2	1	-	1	5	3	2	1	-	1
2018	종로구	평창동	542	296	246	241	128	113	55	32	23	70	37	33	80	37	43	5	2	3	34	21	13	12	11	1	12	4	8	21	16	5	-	-	-	3	2	1	5	3	2	-	-	-	3	2	1	1	1	-
2018	종로구	무악동	318	177	141	126	62	64	24	16	8	39	25	14	53	27	26	5	5	-	25	13	12	10	6	4	14	10	4	13	7	6	3	2	1	3	2	1	2	1	1	-	-	-	1	1	-	-	-	-
2018	종로구	교남동	354	191	163	174	89	85	36	18	18	28	16	12	52	25	27	3	2	1	19	11	8	10	9	1	11	7	4	14	9	5	-	-	-	2	2	-	4	2	2	-	-	-	-	-	-	1	1	-
