동,합계
사직동,309
삼청동,118
부암동,325
평창동,542
무악동,318
교남동,354
가회동,175
종로1.2.3.4가동,379
종로5·6가동,266
이화동,330
창신1동,319
창신2동,484
창신3동,318
숭인1동,275
숭인2동,433
청운효자동,500
혜화동,571
기타,1
소공동,31
회현동,329
명동,126
필동,186
장충동,194
광희동,231
을지로동,88
신당5동,450
황학동,514
중림동,531
신당동,380
다산동,633
약수동,875
청구동,638
동화동,432
후암동,807
용산2가동,488
남영동,575
원효로2동,496
효창동,307
용문동,475
이촌1동,538
이촌2동,378
이태원1동,236
이태원2동,337
서빙고동,408
보광동,626
청파동,824
원효로1동,444
한강로동,519
한남동,644
왕십리2동,678
마장동,"1,096"
사근동,395
행당1동,638
행당2동,890
응봉동,528
금호1가동,661
금호4가동,521
성수1가1동,617
성수1가2동,578
성수2가1동,840
성수2가3동,448
송정동,523
용답동,793
왕십리도선동,993
금호2.3가동,955
옥수동,726
화양동,549
군자동,790
중곡1동,686
중곡2동,884
중곡3동,775
중곡4동,"1,374"
능동,366
구의1동,833
구의2동,"1,131"
구의3동,818
광장동,731
자양1동,902
자양2동,975
자양3동,867
자양4동,929
회기동,313
휘경1동,601
휘경2동,901
청량리동,"1,374"
용신동,"1,442"
제기동,"1,329"
전농1동,"1,526"
전농2동,891
답십리1동,"1,045"
답십리2동,"1,408"
장안1동,"1,653"
장안2동,"1,266"
이문1동,"1,059"
이문2동,"1,030"
면목2동,"1,280"
면목4동,"1,242"
면목5동,517
면목7동,"1,053"
상봉1동,"1,403"
상봉2동,824
중화1동,865
중화2동,"1,596"
묵1동,"1,427"
묵2동,903
망우3동,966
신내1동,"1,909"
신내2동,"1,447"
면목본동,"1,730"
면목3.8동,"1,259"
망우본동,"1,732"
돈암1동,627
돈암2동,724
안암동,575
보문동,621
정릉1동,658
정릉2동,973
정릉3동,758
정릉4동,"1,062"
길음1동,"1,064"
길음2동,443
월곡1동,"1,180"
월곡2동,935
장위1동,"1,064"
장위2동,752
장위3동,580
성북동,587
삼선동,965
동선동,575
종암동,"1,607"
석관동,"1,665"
번1동,973
번2동,"1,369"
번3동,"2,019"
수유1동,"1,281"
수유2동,"1,112"
수유3동,"1,100"
삼양동,"1,419"
미아동,"1,180"
송중동,"1,399"
송천동,"1,564"
삼각산동,"1,269"
우이동,"1,043"
인수동,"1,794"
쌍문1동,"1,096"
쌍문2동,947
쌍문3동,814
쌍문4동,704
방학1동,"1,449"
방학2동,"1,234"
방학3동,"1,010"
창1동,"1,046"
창2동,"1,314"
창3동,793
창4동,"1,000"
창5동,"1,002"
도봉1동,"1,477"
도봉2동,"1,487"
월계1동,"1,056"
월계2동,"2,298"
월계3동,"1,958"
공릉2동,"1,353"
하계1동,"2,117"
하계2동,998
중계본동,881
중계1동,778
중계4동,"1,554"
상계1동,"1,874"
상계2동,906
상계5동,"1,312"
상계8동,708
상계9동,753
상계10동,516
상계3.4동,"1,587"
상계6.7동,"1,273"
중계2.3동,"3,240"
공릉1동,"2,234"
녹번동,"1,528"
불광1동,"1,682"
갈현1동,"1,115"
갈현2동,"1,208"
구산동,"2,301"
대조동,"1,439"
응암1동,"1,155"
응암2동,760
신사1동,"1,217"
신사2동,977
증산동,711
수색동,594
진관동,"1,906"
불광2동,"1,492"
응암3동,"1,336"
역촌동,"2,110"
천연동,776
홍제1동,865
홍제3동,825
홍제2동,648
홍은1동,"1,099"
홍은2동,"1,298"
남가좌1동,537
남가좌2동,"1,060"
북가좌1동,709
북가좌2동,"1,583"
충현동,725
북아현동,626
신촌동,482
연희동,"1,377"
용강동,622
대흥동,431
염리동,455
신수동,683
서교동,685
합정동,611
망원1동,854
망원2동,775
연남동,541
성산1동,712
성산2동,"2,027"
상암동,"1,188"
도화동,770
서강동,681
공덕동,"1,500"
아현동,684
목1동,668
목2동,"1,043"
목3동,866
목4동,875
신월1동,"1,215"
신월2동,"1,039"
신월3동,948
신월4동,906
신월5동,736
신월6동,254
신월7동,"1,165"
신정1동,577
신정2동,728
신정3동,"2,111"
신정6동,470
신정7동,"1,390"
목5동,743
신정4동,"1,616"
염창동,"1,070"
등촌1동,733
등촌2동,723
등촌3동,"3,901"
화곡본동,"1,439"
화곡2동,780
화곡3동,839
화곡4동,954
화곡6동,978
화곡8동,"1,075"
가양1동,818
가양2동,"2,462"
가양3동,"1,669"
발산1동,"1,468"
공항동,"1,094"
방화1동,"1,787"
방화2동,"1,614"
방화3동,"1,999"
화곡1동,"2,113"
우장산동,"1,294"
신도림동,947
구로1동,529
구로3동,905
구로4동,"1,189"
구로5동,"1,104"
고척1동,"1,116"
고척2동,"1,300"
개봉2동,"1,436"
개봉3동,979
오류1동,"1,075"
오류2동,"2,120"
수궁동,"1,241"
가리봉동,583
구로2동,"1,453"
개봉1동,"1,626"
가산동,732
독산1동,"1,926"
독산2동,958
독산3동,"1,205"
독산4동,796
시흥1동,"1,665"
시흥2동,"1,127"
시흥3동,541
시흥4동,"1,065"
시흥5동,"1,182"
여의동,768
당산1동,805
당산2동,929
양평1동,734
양평2동,636
신길1동,816
신길3동,797
신길4동,533
신길5동,554
신길6동,782
신길7동,492
대림1동,760
대림2동,709
대림3동,"1,132"
영등포본동,"1,058"
영등포동,"1,068"
도림동,908
문래동,923
기타,1
노량진2동,666
상도1동,"1,556"
상도2동,951
상도3동,"1,138"
상도4동,"1,306"
사당1동,797
사당3동,815
사당4동,560
사당5동,503
대방동,"1,605"
신대방1동,820
신대방2동,720
흑석동,"1,098"
노량진1동,"1,263"
사당2동,893
보라매동,"1,108"
청림동,679
행운동,"1,097"
낙성대동,475
중앙동,597
인헌동,901
남현동,566
서원동,847
신원동,831
서림동,869
신사동,904
신림동,541
난향동,710
조원동,736
대학동,717
은천동,"1,719"
성현동,"1,525"
청룡동,921
난곡동,"1,588"
삼성동,"1,528"
미성동,"1,405"
서초1동,472
서초2동,298
서초3동,699
서초4동,453
잠원동,609
