시,구,구코드,동,법정동,법정동코드,합계
서울특별시,종로구,11110,사직동,통의동,11110106,309
서울특별시,종로구,11110,삼청동,팔판동,11110139,118
서울특별시,종로구,11110,부암동,부암동,11110184,325
서울특별시,종로구,11110,평창동,구기동,11110182,542
서울특별시,종로구,11110,무악동,무악동,11110187,318
서울특별시,종로구,11110,교남동,교남동,11110176,354
서울특별시,종로구,11110,가회동,가회동,11110146,175
서울특별시,종로구,11110,종로1.2.3.4가동,세종로,11110119,379
서울특별시,종로구,11110,종로5.6가동,연지동,11110160,266
서울특별시,종로구,11110,이화동,이화동,11110165,330
서울특별시,종로구,11110,창신1동,창신동,11110174,319
서울특별시,종로구,11110,창신2동,창신동,11110174,484
서울특별시,종로구,11110,창신3동,창신동,11110174,318
서울특별시,종로구,11110,숭인1동,숭인동,11110175,275
서울특별시,종로구,11110,숭인2동,숭인동,11110175,433
서울특별시,종로구,11110,청운효자동,청운동,11110101,500
서울특별시,종로구,11110,혜화동,와룡동,11110130,571
서울특별시,중구,11140,소공동,소공동,11140111,31
서울특별시,중구,11140,회현동,남창동,11140112,329
서울특별시,중구,11140,명동,무교동,11140101,126
서울특별시,중구,11140,필동,충무로4가,11140132,186
서울특별시,중구,11140,장충동,묵정동,11140136,194
서울특별시,중구,11140,광희동,충무로4가,11140132,231
서울특별시,중구,11140,을지로동,을지로4가,11140150,88
서울특별시,중구,11140,신당5동,신당동,11140162,450
서울특별시,중구,11140,황학동,황학동,11140165,514
서울특별시,중구,11140,중림동,중림동,11140171,531
서울특별시,중구,11140,신당동,신당동,11140162,380
서울특별시,중구,11140,다산동,신당동,11140162,633
서울특별시,중구,11140,약수동,신당동,11140162,875
서울특별시,중구,11140,청구동,신당동,11140162,638
서울특별시,중구,11140,동화동,신당동,11140162,432
서울특별시,용산구,11170,후암동,후암동,11170101,807
서울특별시,용산구,11170,용산2가동,용산동2가,11170102,488
서울특별시,용산구,11170,남영동,갈월동,11170104,575
서울특별시,용산구,11170,원효로2동,신창동,11170114,496
서울특별시,용산구,11170,효창동,효창동,11170119,307
서울특별시,용산구,11170,용문동,도원동,11170120,475
서울특별시,용산구,11170,이촌1동,이촌동,11170129,538
서울특별시,용산구,11170,이촌2동,이촌동,11170129,378
서울특별시,용산구,11170,이태원1동,이태원동,11170130,236
서울특별시,용산구,11170,이태원2동,이태원동,11170130,337
서울특별시,용산구,11170,서빙고동,동빙고동,11170132,408
서울특별시,용산구,11170,보광동,보광동,11170136,626
서울특별시,용산구,11170,청파동,서계동,11170108,824
서울특별시,용산구,11170,원효로1동,원효로1가,11170112,444
서울특별시,용산구,11170,한강로동,한강로1가,11170124,519
서울특별시,용산구,11170,한남동,한남동,11170131,644
서울특별시,성동구,11200,왕십리2동,하왕십리동,11200102,678
서울특별시,성동구,11200,마장동,마장동,11200105,"1,096"
서울특별시,성동구,11200,사근동,사근동,11200106,395
서울특별시,성동구,11200,행당1동,행당동,11200107,638
서울특별시,성동구,11200,행당2동,행당동,11200107,890
서울특별시,성동구,11200,응봉동,응봉동,11200108,528
서울특별시,성동구,11200,금호1가동,금호동1가,11200109,661
서울특별시,성동구,11200,금호4가동,금호동4가,11200112,521
서울특별시,성동구,11200,성수1가1동,성수동1가,11200114,617
서울특별시,성동구,11200,성수1가2동,성수동1가,11200114,578
서울특별시,성동구,11200,성수2가1동,성수동2가,11200115,840
서울특별시,성동구,11200,성수2가3동,성수동2가,11200115,448
서울특별시,성동구,11200,송정동,송정동,11200118,523
서울특별시,성동구,11200,용답동,송정동,11200118,793
서울특별시,성동구,11200,왕십리도선동,상왕십리동,11200101,993
서울특별시,성동구,11200,금호2.3가동,금호동2가,11200110,955
서울특별시,성동구,11200,옥수동,옥수동,11200113,726
서울특별시,광진구,11215,화양동,화양동,11215107,549
서울특별시,광진구,11215,군자동,군자동,11215109,790
서울특별시,광진구,11215,중곡1동,중곡동,11215101,686
서울특별시,광진구,11215,중곡2동,중곡동,11215101,884
서울특별시,광진구,11215,중곡3동,중곡동,11215101,775
서울특별시,광진구,11215,중곡4동,중곡동,11215101,"1,374"
서울특별시,광진구,11215,능동,능동,11215102,366
서울특별시,광진구,11215,구의1동,구의동,11215103,833
서울특별시,광진구,11215,구의2동,구의동,11215103,"1,131"
서울특별시,광진구,11215,구의3동,구의동,11215103,818
서울특별시,광진구,11215,광장동,광장동,11215104,731
서울특별시,광진구,11215,자양1동,자양동,11215105,902
서울특별시,광진구,11215,자양2동,자양동,11215105,975
서울특별시,광진구,11215,자양3동,자양동,11215105,867
서울특별시,광진구,11215,자양4동,자양동,11215105,929
서울특별시,동대문구,11230,회기동,회기동,11230108,313
서울특별시,동대문구,11230,휘경1동,휘경동,11230109,601
서울특별시,동대문구,11230,휘경2동,휘경동,11230109,901
서울특별시,동대문구,11230,청량리동,청량리동,11230107,"1,374"
서울특별시,동대문구,11230,용신동,신설동,11230101,"1,442"
서울특별시,동대문구,11230,제기동,제기동,11230103,"1,329"
서울특별시,동대문구,11230,전농1동,전농동,11230104,"1,526"
서울특별시,동대문구,11230,전농2동,전농동,11230104,891
서울특별시,동대문구,11230,답십리1동,답십리동,11230105,"1,045"
서울특별시,동대문구,11230,답십리2동,답십리동,11230105,"1,408"
서울특별시,동대문구,11230,장안1동,장안동,11230106,"1,653"
서울특별시,동대문구,11230,장안2동,장안동,11230106,"1,266"
서울특별시,동대문구,11230,이문1동,이문동,11230110,"1,059"
서울특별시,동대문구,11230,이문2동,이문동,11230110,"1,030"
서울특별시,중랑구,11260,면목2동,면목동,11260101,"1,280"
서울특별시,중랑구,11260,면목4동,면목동,11260101,"1,242"
서울특별시,중랑구,11260,면목5동,면목동,11260101,517
서울특별시,중랑구,11260,면목7동,면목동,11260101,"1,053"
서울특별시,중랑구,11260,상봉1동,상봉동,11260102,"1,403"
서울특별시,중랑구,11260,상봉2동,상봉동,11260102,824
서울특별시,중랑구,11260,중화1동,중화동,11260103,865
서울특별시,중랑구,11260,중화2동,중화동,11260103,"1,596"
서울특별시,중랑구,11260,묵1동,묵동,11260104,"1,427"
서울특별시,중랑구,11260,묵2동,묵동,11260104,903
서울특별시,중랑구,11260,망우3동,망우동,11260105,966
서울특별시,중랑구,11260,신내1동,신내동,11260106,"1,909"
서울특별시,중랑구,11260,신내2동,신내동,11260106,"1,447"
서울특별시,중랑구,11260,면목본동,면목동,11260101,"1,730"
서울특별시,중랑구,11260,면목3.8동,면목동,11260101,"1,259"
서울특별시,중랑구,11260,망우본동,망우동,11260105,"1,732"
서울특별시,성북구,11290,돈암1동,돈암동,11290103,627
서울특별시,성북구,11290,돈암2동,돈암동,11290103,724
서울특별시,성북구,11290,안암동,안암동1가,11290121,575
서울특별시,성북구,11290,보문동,보문동4가,11290126,621
서울특별시,성북구,11290,정릉1동,정릉동,11290133,658
서울특별시,성북구,11290,정릉2동,돈암동,11290103,973
서울특별시,성북구,11290,정릉3동,정릉동,11290133,758
서울특별시,성북구,11290,정릉4동,정릉동,11290133,"1,062"
서울특별시,성북구,11290,길음1동,길음동,11290134,"1,064"
서울특별시,성북구,11290,길음2동,길음동,11290134,443
서울특별시,성북구,11290,월곡1동,하월곡동,11290136,"1,180"
서울특별시,성북구,11290,월곡2동,하월곡동,11290136,935
서울특별시,성북구,11290,장위1동,장위동,11290138,"1,064"
서울특별시,성북구,11290,장위2동,장위동,11290138,752
서울특별시,성북구,11290,장위3동,장위동,11290138,580
서울특별시,성북구,11290,성북동,성북동,11290101,587
서울특별시,성북구,11290,삼선동,돈암동,11290103,965
서울특별시,성북구,11290,동선동,돈암동,11290103,575
서울특별시,성북구,11290,종암동,종암동,11290135,"1,607"
서울특별시,성북구,11290,석관동,석관동,11290139,"1,665"
서울특별시,강북구,11305,번1동,번동,11305102,973
서울특별시,강북구,11305,번2동,번동,11305102,"1,369"
서울특별시,강북구,11305,번3동,번동,11305102,"2,019"
서울특별시,강북구,11305,수유1동,수유동,11305103,"1,281"
서울특별시,강북구,11305,수유2동,수유동,11305103,"1,112"
서울특별시,강북구,11305,수유3동,수유동,11305103,"1,100"
서울특별시,강북구,11305,삼양동,미아동,11305101,"1,419"
서울특별시,강북구,11305,미아동,미아동,11305101,"1,180"
서울특별시,강북구,11305,송중동,미아동,11305101,"1,399"
서울특별시,강북구,11305,송천동,미아동,11305101,"1,564"
서울특별시,강북구,11305,삼각산동,미아동,11305101,"1,269"
서울특별시,강북구,11305,우이동,수유동,11305103,"1,043"
서울특별시,강북구,11305,인수동,수유동,11305103,"1,794"
서울특별시,도봉구,11320,쌍문1동,쌍문동,11320105,"1,096"
서울특별시,도봉구,11320,쌍문2동,쌍문동,11320105,947
서울특별시,도봉구,11320,쌍문3동,쌍문동,11320105,814
서울특별시,도봉구,11320,쌍문4동,쌍문동,11320105,704
서울특별시,도봉구,11320,방학1동,방학동,11320106,"1,449"
서울특별시,도봉구,11320,방학2동,방학동,11320106,"1,234"
서울특별시,도봉구,11320,방학3동,방학동,11320106,"1,010"
서울특별시,도봉구,11320,창1동,창동,11320107,"1,046"
서울특별시,도봉구,11320,창2동,창동,11320107,"1,314"
서울특별시,도봉구,11320,창3동,창동,11320107,793
서울특별시,도봉구,11320,창4동,창동,11320107,"1,000"
서울특별시,도봉구,11320,창5동,창동,11320107,"1,002"
서울특별시,도봉구,11320,도봉1동,도봉동,11320108,"1,477"
서울특별시,도봉구,11320,도봉2동,도봉동,11320108,"1,487"
서울특별시,노원구,11350,월계1동,월계동,11350102,"1,056"
서울특별시,노원구,11350,월계2동,월계동,11350102,"2,298"
서울특별시,노원구,11350,월계3동,월계동,11350102,"1,958"
서울특별시,노원구,11350,공릉2동,공릉동,11350103,"1,353"
서울특별시,노원구,11350,하계1동,하계동,11350104,"2,117"
서울특별시,노원구,11350,하계2동,하계동,11350104,998
서울특별시,노원구,11350,중계본동,중계동,11350106,881
서울특별시,노원구,11350,중계1동,중계동,11350106,778
서울특별시,노원구,11350,중계4동,상계동,11350105,"1,554"
서울특별시,노원구,11350,상계1동,상계동,11350105,"1,874"
서울특별시,노원구,11350,상계2동,상계동,11350105,906
서울특별시,노원구,11350,상계5동,상계동,11350105,"1,312"
서울특별시,노원구,11350,상계8동,상계동,11350105,708
서울특별시,노원구,11350,상계9동,상계동,11350105,753
서울특별시,노원구,11350,상계10동,상계동,11350105,516
서울특별시,노원구,11350,상계3.4동,상계동,11350105,"1,587"
서울특별시,노원구,11350,상계6.7동,상계동,11350105,"1,273"
서울특별시,노원구,11350,중계2.3동,중계동,11350106,"3,240"
서울특별시,노원구,11350,공릉1동,공릉동,11350103,"2,234"
서울특별시,은평구,11380,녹번동,녹번동,11380102,"1,528"
서울특별시,은평구,11380,불광1동,불광동,11380103,"1,682"
서울특별시,은평구,11380,갈현1동,갈현동,11380104,"1,115"
서울특별시,은평구,11380,갈현2동,갈현동,11380104,"1,208"
서울특별시,은평구,11380,구산동,구산동,11380105,"2,301"
서울특별시,은평구,11380,대조동,대조동,11380106,"1,439"
서울특별시,은평구,11380,응암1동,응암동,11380107,"1,155"
서울특별시,은평구,11380,응암2동,응암동,11380107,760
서울특별시,은평구,11380,신사1동,신사동,11380109,"1,217"
서울특별시,은평구,11380,신사2동,신사동,11380109,977
서울특별시,은평구,11380,증산동,증산동,11380110,711
서울특별시,은평구,11380,수색동,수색동,11380101,594
서울특별시,은평구,11380,진관동,진관동,11380114,"1,906"
서울특별시,은평구,11380,불광2동,불광동,11380103,"1,492"
서울특별시,은평구,11380,응암3동,응암동,11380107,"1,336"
서울특별시,은평구,11380,역촌동,역촌동,11380108,"2,110"
서울특별시,서대문구,11410,천연동,냉천동,11410105,776
서울특별시,서대문구,11410,홍제1동,홍제동,11410111,865
서울특별시,서대문구,11410,홍제3동,홍제동,11410111,825
서울특별시,서대문구,11410,홍제2동,홍제동,11410111,648
서울특별시,서대문구,11410,홍은1동,홍은동,11410118,"1,099"
서울특별시,서대문구,11410,홍은2동,홍은동,11410118,"1,298"
서울특별시,서대문구,11410,남가좌1동,남가좌동,11410120,537
서울특별시,서대문구,11410,남가좌2동,남가좌동,11410120,"1,060"
서울특별시,서대문구,11410,북가좌1동,북가좌동,11410119,709
서울특별시,서대문구,11410,북가좌2동,북가좌동,11410119,"1,583"
서울특별시,서대문구,11410,충현동,충정로2가,11410101,725
서울특별시,서대문구,11410,북아현동,북아현동,11410110,626
서울특별시,서대문구,11410,신촌동,대현동,11410112,482
서울특별시,서대문구,11410,연희동,연희동,11410117,"1,377"
서울특별시,마포구,11440,용강동,도화동,11440104,622
