시군구,구코드,행정구역명,행정동,법정동,법정동코드
강남구,11230,강남구,강남구,강남구,11680000
강남구,11230,개포1동,개포1동,개포동,11680103
강남구,11230,개포2동,개포2동,개포동,11680103
강남구,11230,개포2동,개포2동,일원동,11680114
강남구,11230,개포4동,개포4동,개포동,11680103
강남구,11230,논현1동,논현1동,논현동,11680108
강남구,11230,논현2동,논현2동,논현동,11680108
강남구,11230,대치1동,대치1동,대치동,11680106
강남구,11230,대치2동,대치2동,대치동,11680106
강남구,11230,대치4동,대치4동,대치동,11680106
강남구,11230,도곡1동,도곡1동,도곡동,11680118
강남구,11230,도곡2동,도곡2동,도곡동,11680118
강남구,11230,삼성1동,삼성1동,삼성동,11680105
강남구,11230,삼성2동,삼성2동,삼성동,11680105
강남구,11230,세곡동,세곡동,세곡동,11680111
강남구,11230,세곡동,세곡동,자곡동,11680112
강남구,11230,세곡동,세곡동,율현동,11680113
강남구,11230,수서동,수서동,수서동,11680115
강남구,11230,신사동,신사동,신사동,11680107
강남구,11230,신사동,신사동,압구정동,11680110
강남구,11230,압구정동,압구정동,신사동,11680107
강남구,11230,압구정동,압구정동,압구정동,11680110
강남구,11230,역삼1동,역삼1동,역삼동,11680101
강남구,11230,역삼2동,역삼2동,역삼동,11680101
강남구,11230,일원1동,일원1동,일원동,11680114
강남구,11230,일원1동,일원1동,수서동,11680115
강남구,11230,일원2동,일원2동,개포동,11680103
강남구,11230,일원2동,일원2동,대치동,11680106
강남구,11230,일원2동,일원2동,일원동,11680114
강남구,11230,일원본동,일원본동,일원동,11680114
강남구,11230,일원본동,일원본동,수서동,11680115
강남구,11230,청담동,청담동,청담동,11680104
강동구,11250,강동구,강동구,강동구,11740000
강동구,11250,강일동,강일동,상일동,11740103
강동구,11250,강일동,강일동,강일동,11740110
강동구,11250,고덕1동,고덕1동,고덕동,11740102
강동구,11250,고덕2동,고덕2동,고덕동,11740102
강동구,11250,길동,길동,길동,11740105
강동구,11250,둔촌1동,둔촌1동,둔촌동,11740106
강동구,11250,둔촌2동,둔촌2동,둔촌동,11740106
강동구,11250,명일1동,명일1동,명일동,11740101
강동구,11250,명일2동,명일2동,명일동,11740101
강동구,11250,상일동,상일동,상일동,11740103
강동구,11250,성내1동,성내1동,성내동,11740108
강동구,11250,성내2동,성내2동,성내동,11740108
강동구,11250,성내3동,성내3동,성내동,11740108
강동구,11250,암사1동,암사1동,암사동,11740107
강동구,11250,암사2동,암사2동,암사동,11740107
강동구,11250,암사3동,암사3동,암사동,11740107
강동구,11250,천호1동,천호1동,천호동,11740109
강동구,11250,천호2동,천호2동,천호동,11740109
강동구,11250,천호3동,천호3동,천호동,11740109
강북구,11090,강북구,강북구,강북구,11305000
강북구,11090,미아동,미아동,미아동,11305101
강북구,11090,번1동,번1동,번동,11305102
강북구,11090,번2동,번2동,번동,11305102
강북구,11090,번3동,번3동,번동,11305102
강북구,11090,삼각산동,삼각산동,미아동,11305101
강북구,11090,삼양동,삼양동,미아동,11305101
강북구,11090,송중동,송중동,미아동,11305101
강북구,11090,송천동,송천동,미아동,11305101
강북구,11090,수유1동,수유1동,수유동,11305103
강북구,11090,수유2동,수유2동,수유동,11305103
강북구,11090,수유3동,수유3동,수유동,11305103
강북구,11090,우이동,우이동,수유동,11305103
강북구,11090,우이동,우이동,우이동,11305104
강북구,11090,인수동,인수동,수유동,11305103
강서구,11160,가양1동,가양1동,가양동,11500104
강서구,11160,가양1동,가양1동,마곡동,11500105
강서구,11160,가양2동,가양2동,가양동,11500104
강서구,11160,가양3동,가양3동,가양동,11500104
강서구,11160,강서구,강서구,강서구,11500000
강서구,11160,공항동,공항동,마곡동,11500105
강서구,11160,공항동,공항동,공항동,11500108
강서구,11160,공항동,공항동,방화동,11500109
강서구,11160,공항동,공항동,과해동,11500111
강서구,11160,공항동,공항동,오곡동,11500112
강서구,11160,공항동,공항동,오쇠동,11500113
강서구,11160,등촌1동,등촌1동,등촌동,11500102
강서구,11160,등촌2동,등촌2동,등촌동,11500102
강서구,11160,등촌3동,등촌3동,등촌동,11500102
강서구,11160,발산1동,발산1동,마곡동,11500105
강서구,11160,발산1동,발산1동,내발산동,11500106
강서구,11160,발산1동,발산1동,외발산동,11500107
강서구,11160,방화1동,방화1동,마곡동,11500105
강서구,11160,방화1동,방화1동,공항동,11500108
강서구,11160,방화1동,방화1동,방화동,11500109
강서구,11160,방화2동,방화2동,방화동,11500109
강서구,11160,방화2동,방화2동,개화동,11500110
강서구,11160,방화3동,방화3동,방화동,11500109
강서구,11160,염창동,염창동,염창동,11500101
강서구,11160,염창동,염창동,가양동,11500104
강서구,11160,우장산동,우장산동,화곡동,11500103
강서구,11160,우장산동,우장산동,내발산동,11500106
강서구,11160,화곡1동,화곡1동,화곡동,11500103
강서구,11160,화곡2동,화곡2동,화곡동,11500103
강서구,11160,화곡3동,화곡3동,화곡동,11500103
강서구,11160,화곡4동,화곡4동,화곡동,11500103
강서구,11160,화곡6동,화곡6동,화곡동,11500103
강서구,11160,화곡8동,화곡8동,화곡동,11500103
강서구,11160,화곡본동,화곡본동,화곡동,11500103
관악구,11210,관악구,관악구,관악구,11620000
관악구,11210,낙성대동,낙성대동,봉천동,11620101
관악구,11210,난곡동,난곡동,신림동,11620102
관악구,11210,난향동,난향동,신림동,11620102
관악구,11210,남현동,남현동,남현동,11620103
관악구,11210,대학동,대학동,신림동,11620102
관악구,11210,미성동,미성동,신림동,11620102
관악구,11210,보라매동,보라매동,봉천동,11620101
관악구,11210,삼성동,삼성동,신림동,11620102
관악구,11210,서림동,서림동,신림동,11620102
관악구,11210,서원동,서원동,신림동,11620102
관악구,11210,성현동,성현동,봉천동,11620101
관악구,11210,신림동,신림동,신림동,11620102
관악구,11210,신사동,신사동,신림동,11620102
관악구,11210,신원동,신원동,신림동,11620102
관악구,11210,은천동,은천동,봉천동,11620101
관악구,11210,인헌동,인헌동,봉천동,11620101
관악구,11210,조원동,조원동,신림동,11620102
관악구,11210,중앙동,중앙동,봉천동,11620101
관악구,11210,청룡동,청룡동,봉천동,11620101
관악구,11210,청림동,청림동,봉천동,11620101
관악구,11210,행운동,행운동,봉천동,11620101
광진구,11050,광장동,광장동,광장동,11215104
광진구,11050,광진구,광진구,광진구,11215000
광진구,11050,구의1동,구의1동,구의동,11215103
광진구,11050,구의2동,구의2동,구의동,11215103
광진구,11050,구의3동,구의3동,구의동,11215103
광진구,11050,군자동,군자동,군자동,11215109
광진구,11050,능동,능동,능동,11215102
광진구,11050,자양1동,자양1동,자양동,11215105
광진구,11050,자양2동,자양2동,자양동,11215105
광진구,11050,자양3동,자양3동,자양동,11215105
광진구,11050,자양4동,자양4동,자양동,11215105
광진구,11050,중곡1동,중곡1동,중곡동,11215101
광진구,11050,중곡2동,중곡2동,중곡동,11215101
광진구,11050,중곡3동,중곡3동,중곡동,11215101
광진구,11050,중곡4동,중곡4동,중곡동,11215101
광진구,11050,화양동,화양동,화양동,11215107
구로구,11170,가리봉동,가리봉동,가리봉동,11530103
구로구,11170,개봉1동,개봉1동,개봉동,11530107
구로구,11170,개봉2동,개봉2동,개봉동,11530107
