전철역명,X좌표(WGS),Y좌표(WGS)
가락시장,37.492521999999994,127.11823400000002
종로3가,37.571607,126.99180600000001
오금,37.502162,127.128111
동대문,37.57142,127.009745
동대문역사문화공원,37.565138,127.007896
충무로,37.561243,126.99428
서울,37.554648,126.972559
신도림,37.508725,126.891295
이촌,37.522271999999994,126.974345
왕십리,37.561533000000004,127.037732
시청,37.564718,126.977108
교대,37.493415,127.01408
신설동,37.575297,127.02508700000001
강변,37.535095,127.09468100000001
까치산,37.531768,126.84668300000001
을지로3가,37.566295000000004,126.99191
홍대입구,37.557192,126.925381
광운대,37.623632,127.06183500000002
상봉,37.596362,127.08503200000001
망우,37.59955,127.09190900000002
영등포구청,37.52497,126.895951
신길,37.517122,126.917169
을지로4가,37.566941,126.998079
합정,37.549463,126.91373899999999
공덕,37.544018,126.95159199999999
삼각지,37.534777000000005,126.97311
약수,37.55434,127.010655
신당,37.565971999999995,127.01782
동묘앞,37.572627000000004,127.016429
석계,37.614805,127.065851
도봉산,37.689313,127.046222
불광,37.610469,126.92988700000001
연신내,37.619001000000004,126.921008
금정,37.372221,126.94342900000001
수원,37.265974,126.999874
원인재,37.412603000000004,126.687389
회기,37.589459999999995,127.05758300000001
대곡,37.631626000000004,126.811024
디지털미디어시티,37.576646000000004,126.90098400000001
회룡,37.724846,127.04689499999999
판교,37.394760999999995,127.111217
오이도,37.362357,126.73871399999999
이매,37.396104,127.12827
선정릉,37.510979999999996,127.04359299999999
종합운동장,37.510996999999996,127.07364199999999
천호,37.538396999999996,127.123572
창동,37.653166,127.047731
사당,37.47653,126.98168500000001
노원,37.655128000000005,127.06136799999999
군자,37.557121,127.07954199999999
건대입구,37.540693,127.07023000000001
고속터미널,37.50481,127.004943
총신대입구(이수),37.486263,126.98198899999998
대림,37.49297,126.895801
가산디지털단지,37.481072,126.88234299999999
온수,37.492258,126.823388
부평구청,37.508336,126.720548
잠실,37.51395,127.10223400000001
복정,37.470046999999994,127.12666200000001
모란,37.43213,127.12908700000001
부평,37.489492999999996,126.724805
당산,37.53438,126.902281
여의도,37.521623999999996,126.924191
동작,37.502971,126.97930600000001
김포공항,37.562434,126.80105800000001
강남,37.497175,127.02792600000001
양재,37.484147,127.034631
정자,37.367059999999995,127.10810500000001
강남구청,37.517185999999995,127.04128
선릉,37.504503,127.049008
효창공원앞,37.539260999999996,126.96135100000001
태릉입구,37.617983,127.07512
검암,37.569103999999996,126.673728
주안,37.464940999999996,126.679923
인천,37.476690999999995,126.61693600000001
인천시청,37.457405,126.702221
청량리,37.580178000000004,127.04683500000002
중랑,37.594916999999995,127.07611599999998
충정로,37.559973,126.963672
청구,37.560245,127.013828
성신여대입구,37.592624,127.016403
보문,37.585285999999996,127.01938100000001
계양,37.571462,126.73563700000001
기흥,37.275619,127.115936
옥수,37.540684999999996,127.01796499999999
도곡,37.490858,127.05538100000001
수서,37.487371,127.10188000000001
용산,37.529849,126.964561
종각,37.570161,126.982923
종로5가,37.570926,127.00184899999999
제기동,37.578103000000006,127.034893
을지로입구,37.566014,126.98261799999999
탑석,37.733579,127.088704
한티,37.496237,127.05287299999999
구룡,37.486839,127.058856
홍제,37.589065999999995,126.94373600000002
김유정,37.818466,127.71433999999999
남춘천,37.864007,127.72379199999999
성균관대,37.300349,126.97075
경찰병원,37.495917999999996,127.12454
구일,37.496756,126.87079299999999
야탑,37.411184999999996,127.12871499999999
삼송,37.653083,126.89555800000001
화정,37.634592,126.83265
영등포시장,37.522669,126.90513899999999
상일동,37.556712,127.166417
공릉,37.625741999999995,127.072896
상도,37.502834,126.94791000000001
박촌,37.553703000000006,126.745077
구성,37.298969,127.10566399999999
인하대,37.448493,126.649619
숭의,37.460789,126.638297
센트럴파크,37.393054,126.63472900000001
국제업무지구,37.399907,126.630347
강매,37.612314000000005,126.843223
달월,37.379681,126.745177
원흥,37.650658,126.872642
완정,37.592928,126.673203
석바위시장,37.457611,126.692575
상왕십리,37.564353999999994,127.029354
한양대,37.555273,127.043655
뚝섬,37.547184,127.047367
성수,37.544581,127.05596100000001
청계산입구,37.447210999999996,127.055664
구의,37.537077000000004,127.085916
잠실나루,37.520733,127.10378999999999
잠실새내,37.511687,127.08616200000002
삼성,37.508844,127.06316000000001
역삼,37.500622,127.036456
서초,37.491896999999994,127.00791699999999
방배,37.481426,126.997596
낙성대,37.476929999999996,126.96369299999999
서울대입구,37.481246999999996,126.952739
봉천,37.482362,126.941892
신림,37.484201,126.92971499999999
신대방,37.487462,126.913149
구로디지털단지,37.485265999999996,126.901401
문래,37.517933,126.89476
신촌,37.555134,126.936893
이대,37.556733,126.946013
아현,37.557345,126.95614099999999
용답,37.561904,127.050899
신답,37.570040000000006,127.046481
도림천,37.514287,126.882768
양천구청,37.512398,126.86581899999999
신정네거리,37.520074,126.85291200000002
용두,37.574028000000006,127.038091
지축,37.648047999999996,126.913951
구파발,37.636763,126.918821
녹번,37.600927,126.93575600000001
무악재,37.582299,126.95029099999999
독립문,37.574571,126.957748
경복궁,37.575762,126.97353000000001
안국,37.576477000000004,126.98544299999999
동대입구,37.559052,127.005602
금호,37.548034,127.015872
압구정,37.527072,127.02846100000001
신사,37.516334,127.02011399999999
잠원,37.512759,127.01122
남부터미널,37.485013,127.01618899999998
매봉,37.486947,127.046769
대치,37.494612,127.06364199999999
학여울,37.496663,127.070594
대청,37.493514000000005,127.079532
일원,37.483681,127.08438999999998
당고개,37.670272,127.079066
상계,37.660878000000004,127.073572
쌍문,37.648627000000005,127.034709
수유,37.638052,127.025732
미아,37.626670000000004,127.02598300000001
미아사거리,37.613292,127.03005300000001
길음,37.603407000000004,127.025053
한성대입구,37.588458,127.006221
혜화,37.582336,127.00184399999999
명동,37.560989,126.986325
회현,37.558514,126.978246
숙대입구,37.54456,126.97210600000001
신용산,37.52917,126.967894
남태령,37.463873,126.989134
남영,37.541021,126.9713
노량진,37.514219,126.942454
대방,37.513342,126.926382
영등포,37.515504,126.907628
서빙고,37.519594,126.98853700000001
한남,37.52943,127.009169
응봉,37.549946000000006,127.03453799999998
외대앞,37.596073,127.063549
신이문,37.601853999999996,127.067325
월계,37.633212,127.05883100000001
녹천,37.644799,127.05126899999999
개포동,37.489115999999996,127.06613999999999
대모산입구,37.491372999999996,127.07271999999999
양원,37.606596,127.107906
구리,37.603392,127.143869
도농,37.608806,127.161153
양정,37.60533,127.19363999999999
덕소,37.586781,127.208832
도심,37.579622,127.222672
팔당,37.547371000000005,127.24393899999998
운길산,37.554669,127.310115
양수,37.545981,127.329098
신원,37.525545,127.37292099999999
국수,37.516169,127.399367
아신,37.51382,127.443173
오빈,37.506062,127.473868
양평(경의중앙선),37.492832,127.49181399999999
원덕,37.468672,127.547076
용문,37.48223,127.594647
서울(경의중앙선),37.556328,126.969522
신촌(경의중앙선),37.559783,126.942319
서강대,37.551881,126.93571100000001
가좌,37.568490999999995,126.91548700000001
수색,37.580842,126.89561100000002
화전,37.602888,126.86838700000001
행신,37.612102,126.83414599999999
능곡,37.618808,126.820783
곡산,37.645676,126.80176200000001
백마,37.658239,126.79446100000001
풍산,37.672346000000005,126.786243
일산,37.682077,126.769846
탄현,37.694023,126.761086
야당,37.712327,126.761356
운정,37.725826,126.767257
금릉,37.751321999999995,126.76534699999999
금촌,37.766217,126.774644
월롱,37.796188,126.79258700000001
파주,37.815298,126.79278300000001
문산,37.854619,126.78804699999999
신내,37.612887,127.103218
갈매,37.634118,127.11475700000001
별내,37.64202,127.12683999999999
퇴계원,37.648311,127.143952
사릉,37.65108,127.176933
금곡,37.637382,127.207853
평내호평,37.653225,127.24449299999999
천마산,37.658978000000005,127.285379
마석,37.652782,127.31176699999999
대성리,37.684071,127.379319
청평,37.735488000000004,127.42661000000001
상천,37.770246,127.454821
가평,37.814536,127.51073899999999
굴봉산,37.832066999999995,127.557695
백양리,37.830779,127.58933
강촌,37.805723,127.634146
춘천,37.885054,127.717023
봉명,36.801215,127.13576299999998
쌍용(나사렛대),36.793759,127.1214
아산,36.792053,127.10436100000001
배방,36.777629,127.05299099999999
온양온천,36.780483000000004,127.003249
신창,36.769502,126.951108
선바위,37.451673,127.002303
경마공원,37.443884999999995,127.007888
대공원,37.435675,127.006523
과천,37.433021000000004,126.996568
정부과천청사,37.426513,126.98978000000001
인덕원,37.401553,126.97671499999998
평촌,37.394287,126.96388300000001
범계,37.389793,126.950806
삼동,37.409521999999996,127.20336
경기광주,37.399907,127.25263000000001
초월,37.374419,127.299
