전철역명,지번주소
가락시장,대한민국 서울특별시 송파구 가락동 600-1
종로3가,대한민국 서울특별시 묘동 종로3가
오금,대한민국 서울특별시 오금동 오금
동대문,대한민국 서울특별시 종로구 창신동 472
동대문역사문화공원,대한민국 서울특별시 중구 을지로7가 132-2
충무로,대한민국 서울특별시 중구 필동 16-2
서울,대한민국 서울특별시 중구 봉래동2가 166
신도림,대한민국 서울특별시 신도림역
이촌,대한민국 서울특별시 용산구 용산동5가 17-97
왕십리,대한민국 서울특별시 성동구 행당동 168-168
시청,대한민국 서울특별시 중구 태평로2가 356
교대,대한민국 서울특별시 서초구 서초1동 1672-2
신설동,대한민국 서울특별시 동대문구 용신동 102-35
강변,대한민국 서울특별시 광진구 구의3동 강변역로 53 강변
까치산,대한민국 서울특별시 화곡동 까치산역
을지로3가,대한민국 서울특별시 을지로3가 을지로3가역
홍대입구,대한민국 서울특별시 마포구 동교동 166-7
광운대,대한민국 서울특별시 월계동 광운대역
상봉,대한민국 서울특별시 중랑구 상봉1동 100-16
망우,대한민국 서울특별시 중랑구 상봉1동 29-3
영등포구청,대한민국 서울특별시 영등포구청역
신길,대한민국 서울특별시 영등포구 신길동 영등포로 327
을지로4가,대한민국 서울특별시 중구 을지로동 130-8
합정,대한민국 서울특별시 마포구 합정동 416-68
공덕,대한민국 서울특별시 마포구 공덕동 429-12
삼각지,대한민국 서울특별시 용산구 한강로동 278-2
약수,대한민국 서울특별시 중구 신당동 369-47
신당,대한민국 서울특별시 중구 흥인동 14-46
동묘앞,대한민국 서울특별시 종로구 숭인2동 296-24
석계,대한민국 서울특별시 성북구 석관동 375-15
도봉산,대한민국 서울특별시 도봉구 도봉동 도봉로 964-33
불광,대한민국 서울특별시 불광역
연신내,대한민국 서울특별시 은평구 불광동 487-2
금정,대한민국 경기도 군포시 금정동 87-1
수원,대한민국 서울특별시 동작구 매산로1가 대방동길 수원역
원인재,대한민국 인천광역시 연수2동 원인재역
회기,대한민국 서울특별시 동대문구 휘경동 267-21
대곡,대한민국 고양시 대장동 대곡
디지털미디어시티,대한민국 서울특별시 마포구 상암동 223-27
회룡,대한민국 경기도 의정부시 호원2동 316-88
판교,대한민국 경기도 성남시 분당구 삼평동 판교역로 16 판교역
오이도,대한민국 시흥시 정왕본동 오이도역
이매,대한민국 경기도 성남시 분당구 이매동 127-6
선정릉,대한민국 서울특별시 강남구 삼성동 111-150
종합운동장,대한민국 서울특별시 송파구 잠실동 1-236
천호,대한민국 서울특별시 강동구 풍납동 천호대로 997
창동,대한민국 서울특별시 창4동 창동
사당,대한민국 서울특별시 동작구 사당1동 588-45
노원,대한민국 서울특별시 노원구 상계6.7동 713
군자,대한민국 서울특별시 능동 군자
건대입구,대한민국 서울특별시 광진구 화양동 5-48
고속터미널,대한민국 서울특별시 서초구 반포4동 신반포로 지하 188
총신대입구(이수),대한민국 서울특별시 동작구 사당2동 9-31
대림,대한민국 서울특별시 영등포구 대림동 도림로31길 8-1
가산디지털단지,대한민국 서울특별시 금천구 가산동 440-8
온수,대한민국 서울특별시 구로구 온수동 53-13
부평구청,대한민국 인천광역시 부평구 갈산2동 199-3
잠실,대한민국 서울특별시 송파구 신천동 8
복정,대한민국 서울특별시 송파구 장지동 600
모란,대한민국 성남시 성남동 모란
부평,대한민국 인천광역시 부평동 부평
당산,대한민국 서울특별시 영등포구 당산동6가 304-4
여의도,대한민국 서울특별시 영등포구 여의도동 3
동작,대한민국 서울특별시 동작구 동작동 327
